epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5495.96,1.7894,2.2459,0.01508,0.41306,0.42769,0.26198,0.17668,1.7922,2.19971,0.01508,0.000248461,0.000248461,0.000248461
87,5556.52,1.80518,2.26245,0.01522,0.40583,0.41339,0.26327,0.17622,1.82434,2.18421,0.01549,0.000238094,0.000238094,0.000238094
88,5617.56,1.78707,2.25854,0.01506,0.4095,0.42916,0.26726,0.17598,1.81833,2.18269,0.0153,0.000228396,0.000228396,0.000228396
89,5677.56,1.79897,2.28292,0.01559,0.39945,0.42982,0.25579,0.17068,1.82359,2.20603,0.0155,0.000219378,0.000219378,0.000219378
90,5738.63,1.77316,2.2574,0.01472,0.39745,0.43586,0.25807,0.17116,1.8187,2.1934,0.0155,0.000211048,0.000211048,0.000211048
91,5799.95,1.77224,2.24541,0.01494,0.39901,0.43295,0.25881,0.17306,1.80567,2.20313,0.01527,0.000203415,0.000203415,0.000203415
92,5861.26,1.76746,2.23924,0.01468,0.41296,0.42556,0.26149,0.17253,1.83042,2.19368,0.01529,0.000196486,0.000196486,0.000196486
93,5921.74,1.78776,2.26349,0.01499,0.40948,0.44658,0.26588,0.1769,1.83706,2.18237,0.01548,0.000190267,0.000190267,0.000190267
94,5982.55,1.75939,2.24221,0.01485,0.43824,0.40781,0.27008,0.18011,1.80233,2.21756,0.01487,0.000184766,0.000184766,0.000184766
95,6044.13,1.76516,2.27404,0.01481,0.45357,0.41339,0.26749,0.17787,1.81782,2.21678,0.01502,0.000179987,0.000179987,0.000179987
96,6106.13,1.75686,2.25387,0.01485,0.44417,0.41126,0.26506,0.17653,1.80225,2.20998,0.01501,0.000175936,0.000175936,0.000175936
97,6167.75,1.75498,2.25006,0.01468,0.4474,0.40814,0.2628,0.17421,1.81334,2.21965,0.01532,0.000172615,0.000172615,0.000172615
98,6228.74,1.76558,2.25421,0.0149,0.43262,0.41634,0.26678,0.17628,1.81958,2.20873,0.01527,0.000170029,0.000170029,0.000170029
99,6289.98,1.75824,2.24459,0.01495,0.43686,0.41898,0.27381,0.17776,1.81926,2.19851,0.01524,0.00016818,0.00016818,0.00016818
100,6351.5,1.76197,2.24277,0.01441,0.44483,0.42177,0.27948,0.18164,1.82003,2.19918,0.01546,0.00016707,0.00016707,0.00016707
